No.,English gloss,Amharic gloss,Maiyu,Fadashi,Undulu,Beleje Gonfoye
138,sleep (v.),ተኛ,dírʃa,tirʃa,θə́rʃa,ɗiŋa
139,"claw, fingernail",ጥፍር,máːshũ,maːʃó,mə́nʃó,maːsiːso
140,gift,ስጦታ,daːdó,ndaline,ndɪdíŋ,gɪmbɛnduʷa
141,ours,የእኛ,mánk’a,mːanka,,maŋka
142,mine,የእኔ,mánk’o,mːanko,,manko
143,yours (sg),የአንተ,mbáʔa,mbaʔa,,mːbáʔa
144,lock (n.),ሰረገላ ቁልፍ,mulhí handuŋú,mulhí handuŋú,mulhí handuŋú,mui handu ɲolo
145,sun,ፀሀይ,munsú,moːs’ó,munzú,muɲdʒo
146,die (v.),ሞተ,múʃa,múʃé,jěː,muːʃe
147,why?,ለምን?,náːnói,mbóléjá,náːnúʔa,mboleʔiʲa
148,be pregnant,እርጉዝ,ɔlgɪɲi,olgiŋi,wol͡dʒiŋʔi,olgɪne
149,bleed,ደማ,ɓuda,,ɓuɗí,ɓuːɗe
150,"cloth, clothes",ልብስ,ɔr,or,or,oɾi
151,to play (an instrument),,béː,,béː,beː
152,"early, in the morning",ማለዳ፣ጠዋት,adːʊk’ʊʃ,meneɗɛʃimːbe,mɛn ɗɛ́ʃí,maːbus
153,trumpet,,awaza,wáːsa,wáːsa,
154,be true,እውነት,asːé,asːé,goːɗi,tɛn:te
155,"scratch, scrape off",ጫረ,"p’eːra, kɔŋkɔne",k’oŋkoni,ɓeːra,k’okone
156,dig,ቆፈረ (ለእንስሳት),fʊda,hoːɗa,,baːla
157,bread,ዳቦ,p’ɪmːp’íl,ɓɛmbɛl,ɓɪmɓɪl,bɪmːbil
158,trousers,ሱሪ,asʊrwâl,asːurwal,aʃoŋːhár,asurani
159,guest,እንግዳ,as’ís’i,as’is’i,as’ís’i,as’is’e
160,Berta knife,,handʒir,haɳ͡ dʒir,haŋːhir,haɲgɪri
161,net,መረብ,aʃɛ́bəka,ʃiŋí,ʃíːle,deŋi nəguŋu
162,rain,ዝናብ,rɔ,rô,rô,rô
163,year,አመት,rɔ́ːndu,róóndu,róːndu,roŋoloʔur
164,time,ጊዜ,áːŋ,áŋ moːso,asːat,təkolal
165,smell (trans v.),አሸተተ,áŋɔna,aŋoní,aŋːoní,aŋonɛne
166,sharpen,ሳለ (ለቢላ),áp’ila,aːɓila,aːɓila,guʷane
167,"ground, soil, earth",መሬት,s’ak’a,s’ak’a,s’ak’a,tʃ’ɛka
168,saddle,ኮሪቻ,amaɗí,amaɗé,amaɗé,aːmele
169,beads,ጨሌ,amanzi,amanzi,amanzi,aʔmɛndʒi
170,rat,አይጥ,amasíɲ,amaziɲ,amazí,aʔmadʒi
171,dust,ኣቧራ,ambʊdúr,amburu,hohuθa,ambuduɾo
172,darkness,ጨለማ,amilo,amiluʔa,amiluʔi,aɲi miloʔi
173,sand,አሸዋ,ʃéːk’e,ʃéːk’e,ʃeːtʃ’e,asesɛke
174,deaf,ደንቆሮ,ʃɛr íle,máːla,sher íle,mbəɲiro ilo
175,buy,ገዛ,ʃɪbila,,jéːla,eːlɛna
176,chair,ወምበር,al kʊ́rsi,ama:ɗé,alkúrsi,adəŋo
177,rest (v.),አረፈ,ʃɔ́ːra,ʃóːra,ʃóːra,soːre
178,hut,ገጆ,ʃúl ɲɛːra,ʃulgwaːlé,ʃúl ɲera,sulɲero / sul gʷole
179,cloud,ደመና,agúːru,agúːru,agúːru,aguru
180,friend,ጓደኛ,ahap’u,haːɓu,aːgúʃúŋ,age
181,"to, towards",ወደ,θá,lɛ,θɛwa,la
182,here,እዚህ,θɛ́lːé,θoːʔi / loːʔi,θoːʔiyu,loːle
183,medicine,መድሐኒት,adːɛ́wa,s’is’ia?iɲ,addáwa,hoːtʃo
184,"stirring stick, whisk",ማማሰያ,aɗaɗáfɛd,ɗaɗafet,aɗanɗafet,mulaːʷo
184,"forgive, have mercy",ምህረት አደረገ፣ይቅር አለ,afiːŋa,eʔafiːŋa,afiiña,bik’ɛneʲa
186,outside,ውጭ,θʊːθa,θoːla,θuːθe,ligogolo
187,new,አዲስ,t’ɔk’ɔló,tokolo / towolo,t’ok’oló,giːgoɗi
188,meat,ስጋ,ʊʔûŋ,oʔoŋ,uqûñ,oʔoɲe
189,mosquito,ቢምቢ,jámúθ,uːmuθ,jámúθ,úmúlí
190,"maybe, could be",ምን አልባት,jɛ́bʊga,gaːʔí,amɪʃéːká,aneʔale
191,"think, reflect",አሰበ,sɛŋzeŋa,sɛːŋané,senːa,dʒɛːrɛne
192,lazy,ሰነፈ,sɔsɔʔ,soːsoʔ,zozo,dʒódʒó
193,mud,ጭቃ,sʊre,sure,gaːma,átoʔkó
194,I (1sg),ኣኔ,ali,ali,ali,ali
195,you (2sg),ኣንተ,ŋgó,ngo,ɲɦó,ngo
196,"he, she, it (3sg)",,ɲine,ɲine,ɪnːe,ɪnːe
197,we (1pl),,haθáŋ,həni,ɪnːka,ŋːa
198,you (pl) (2pl),,haθú,halu,haθú,halú
199,they (3pl),,məré,maré,maré,maré
200,whisper,አንሾካሾከ,hahaʃa,haːʃa,hahasha,haːsɪne
